Sequence id	Family id	Family Accession	Clan	Env. Start	Env. End	Ali. Start	Ali. End	Model Start	Model End	Bit Score	Ind. E-value	Cond. E-value	Description	outcompeted	significant	uniq
>AT3G19040.1|PACid:19663337_AtTAFIIb	DUF3591	PF12157.8	CL0662	491	1052	491	1052	1	441	376.993225097656	1.1e-112	3.0e-116	Protein of unknown function (DUF3591)	0	1	1
>AT3G19040.1|PACid:19663337_AtTAFIIb	Bromodomain	PF00439.25		1669	1753	1677	1744	7	74	54.529541015625	8.9e-15	2.5e-18	Bromodomain	0	1	2
>AT3G19040.1|PACid:19663337_AtTAFIIb	ubiquitin	PF00240.23	CL0072	576	647	576	645	1	69	38.8149871826172	5.7e-10	1.6e-13	Ubiquitin family	0	1	3
>AT3G19040.1|PACid:19663337_AtTAFIIb	zf-CCHC_6	PF15288.6	CL0511	1292	1331	1294	1327	4	37	22.0622997283936	0.0001	2.8e-08	Zinc knuckle	0	1	4
>Bradi1g30648.1|PACid:21818738_BdTAFIIa	DUF3591	PF12157.8	CL0662	580	1144	580	1144	1	441	421.648101806641	3.0e-126	5.0e-130	Protein of unknown function (DUF3591)	0	1	1
>Bradi1g30648.1|PACid:21818738_BdTAFIIa	Bromodomain	PF00439.25		1717	1797	1717	1794	1	77	65.7987976074219	2.7e-18	4.6e-22	Bromodomain	0	1	2
>Bradi1g30648.1|PACid:21818738_BdTAFIIa	TBP-binding	PF09247.11		18	72	22	65	3	45	35.3711700439453	9.6e-09	1.6e-12	TATA box-binding protein binding	0	1	3
>Eucgr.I02627.1|PACid:23597401_EgrTAFIIa	DUF3591	PF12157.8	CL0662	582	1154	582	1154	1	441	418.131561279297	3.5e-125	1.2e-128	Protein of unknown function (DUF3591)	0	1	1
>Eucgr.I02627.1|PACid:23597401_EgrTAFIIa	Bromodomain	PF00439.25		1791	1875	1791	1869	1	78	65.8975524902344	2.5e-18	8.5e-22	Bromodomain	0	1	2
>Eucgr.I02627.1|PACid:23597401_EgrTAFIIa	ubiquitin	PF00240.23	CL0072	667	739	667	736	1	69	39.9829902648926	2.4e-10	8.2e-14	Ubiquitin family	0	1	3
>Eucgr.I02627.1|PACid:23597401_EgrTAFIIa	TBP-binding	PF09247.11		14	68	19	61	4	45	36.3968696594238	4.6e-09	1.5e-12	TATA box-binding protein binding	0	1	4
>Eucgr.I02627.1|PACid:23597401_EgrTAFIIa	Rad60-SLD	PF11976.8	CL0072	665	735	665	735	1	71	26.6448783874512	3.8e-06	1.3e-09	Ubiquitin-2 like Rad60 SUMO-like	1	1	5
>Eucgr.I02627.1|PACid:23597401_EgrTAFIIa	zf-CCHC_6	PF15288.6	CL0511	1397	1431	1399	1417	4	22	22.268871307373	8.8e-05	2.9e-08	Zinc knuckle	0	1	6
>Glyma04g14745.1|PACid:26304398_GmTAFFIIa	DUF3591	PF12157.8	CL0662	587	1155	588	1155	3	441	419.045379638672	1.9e-125	5.2e-129	Protein of unknown function (DUF3591)	0	1	1
>Glyma04g14745.1|PACid:26304398_GmTAFFIIa	Bromodomain	PF00439.25		1775	1856	1776	1851	2	75	63.7911376953125	1.2e-17	3.2e-21	Bromodomain	0	1	2
>Glyma04g14745.1|PACid:26304398_GmTAFFIIa	ubiquitin	PF00240.23	CL0072	671	743	671	741	1	70	40.4011726379395	1.8e-10	5.1e-14	Ubiquitin family	0	1	3
>Glyma04g14745.1|PACid:26304398_GmTAFFIIa	TBP-binding	PF09247.11		14	68	19	61	4	45	37.1211624145508	2.7e-09	7.6e-13	TATA box-binding protein binding	0	1	4
>Lus10027579|PACid:23151192_LuTAFIIa	DUF3591	PF12157.8	CL0662	514	1084	514	1084	1	441	436.276702880859	1.1e-130	2.4e-134	Protein of unknown function (DUF3591)	0	1	1
>Lus10027579|PACid:23151192_LuTAFIIa	Bromodomain	PF00439.25		1705	1785	1706	1781	2	76	65.5483703613281	3.3e-18	7.3e-22	Bromodomain	0	1	2
>Lus10027579|PACid:23151192_LuTAFIIa	ubiquitin	PF00240.23	CL0072	599	671	601	669	3	70	30.5837936401367	2.1e-07	4.7e-11	Ubiquitin family	0	1	3
>Lus10027579|PACid:23151192_LuTAFIIa	zf-CCHC_6	PF15288.6	CL0511	1323	1361	1325	1357	4	36	26.1259593963623	5.5e-06	1.2e-09	Zinc knuckle	0	1	4
>Medtr5g026660.1|PACid:23034861_MtruTAFIIa	DUF3591	PF12157.8	CL0662	582	1151	583	1150	3	440	419.359069824219	1.5e-125	4.1e-129	Protein of unknown function (DUF3591)	0	1	1
>Medtr5g026660.1|PACid:23034861_MtruTAFIIa	Bromodomain	PF00439.25		1788	1869	1789	1864	2	75	61.2834815979004	7.0e-17	1.9e-20	Bromodomain	0	1	2
>Medtr5g026660.1|PACid:23034861_MtruTAFIIa	TBP-binding	PF09247.11		14	67	18	60	4	45	37.785587310791	1.7e-09	4.7e-13	TATA box-binding protein binding	0	1	3
>Medtr5g026660.1|PACid:23034861_MtruTAFIIa	ubiquitin	PF00240.23	CL0072	666	738	668	736	3	70	28.3072872161865	1.1e-06	3.0e-10	Ubiquitin family	0	1	4
>Medtr5g026660.1|PACid:23034861_MtruTAFIIa	zf-CCHC_6	PF15288.6	CL0511	1408	1443	1410	1429	4	23	22.5103893280029	7.4e-05	2.1e-08	Zinc knuckle	0	1	5
>LOC_Os06g43790.1|PACid:24140551_OsTAFIIa	DUF3591	PF12157.8	CL0662	553	884	553	863	1	207	205.534912109375	1.1e-60	3.2e-64	Protein of unknown function (DUF3591)	0	1	1
>LOC_Os06g43790.1|PACid:24140551_OsTAFIIa	DUF3591	PF12157.8	CL0662	875	1135	886	1135	204	441	165.243835449219	1.9e-48	5.3e-52	Protein of unknown function (DUF3591)	0	1	2
>LOC_Os06g43790.1|PACid:24140551_OsTAFIIa	Bromodomain	PF00439.25		1714	1794	1715	1789	1	75	70.0285415649414	1.3e-19	3.6e-23	Bromodomain	0	1	3
>LOC_Os06g43790.1|PACid:24140551_OsTAFIIa	TBP-binding	PF09247.11		18	72	22	65	3	45	34.8186645507812	1.4e-08	4.0e-12	TATA box-binding protein binding	0	1	4
>LOC_Os06g43790.1|PACid:24140551_OsTAFIIa	ubiquitin	PF00240.23	CL0072	639	710	640	708	3	70	29.0004577636719	6.6e-07	1.8e-10	Ubiquitin family	0	1	5
>29838.m001663|PACid:16810333_RcTAFIIa	DUF3591	PF12157.8	CL0662	564	1133	564	1133	1	441	437.686706542969	4.1e-131	1.1e-134	Protein of unknown function (DUF3591)	0	1	1
>29838.m001663|PACid:16810333_RcTAFIIa	Bromodomain	PF00439.25		1772	1852	1785	1848	13	76	63.119384765625	1.9e-17	5.2e-21	Bromodomain	0	1	2
>29838.m001663|PACid:16810333_RcTAFIIa	ubiquitin	PF00240.23	CL0072	649	721	649	719	1	70	42.5170211791992	4.0e-11	1.1e-14	Ubiquitin family	0	1	3
>29838.m001663|PACid:16810333_RcTAFIIa	TBP-binding	PF09247.11		15	75	20	66	4	48	38.9037895202637	7.6e-10	2.1e-13	TATA box-binding protein binding	0	1	4
>29838.m001663|PACid:16810333_RcTAFIIa	zf-CCHC_6	PF15288.6	CL0511	1376	1405	1379	1397	4	22	22.3395309448242	8.3e-05	2.3e-08	Zinc knuckle	0	1	5
>Sb10g025390.1|PACid:1984485_SbTAFIIa	DUF3591	PF12157.8	CL0662	556	1124	556	1124	1	441	427.119049072266	6.6e-128	1.8e-131	Protein of unknown function (DUF3591)	0	1	1
>Sb10g025390.1|PACid:1984485_SbTAFIIa	Bromodomain	PF00439.25		1692	1775	1696	1771	1	76	55.4278335571289	4.7e-15	1.3e-18	Bromodomain	0	1	2
>Sb10g025390.1|PACid:1984485_SbTAFIIa	TBP-binding	PF09247.11		18	73	22	65	3	45	35.4984359741211	8.8e-09	2.4e-12	TATA box-binding protein binding	0	1	3
>Sb10g025390.1|PACid:1984485_SbTAFIIa	ubiquitin	PF00240.23	CL0072	641	712	645	710	5	69	24.8208389282227	1.3e-05	3.7e-09	Ubiquitin family	0	1	4
>409957|PACid:15406292_SmoTAFIIa	DUF3591	PF12157.8	CL0662	582	1137	582	1132	1	424	424.205230712891	5.0e-127	5.6e-131	Protein of unknown function (DUF3591)	0	1	1
>409957|PACid:15406292_SmoTAFIIa	ubiquitin	PF00240.23	CL0072	668	741	669	739	2	70	38.7894744873047	5.8e-10	6.4e-14	Ubiquitin family	0	1	2
>GSVIVT01020528001|PACid:17829860_VvTAFIIa	DUF3591	PF12157.8	CL0662	464	1034	464	1034	1	441	453.147094726562	8.3e-136	2.3e-139	Protein of unknown function (DUF3591)	0	1	1
>GSVIVT01020528001|PACid:17829860_VvTAFIIa	Bromodomain	PF00439.25		1685	1766	1686	1760	2	75	62.0620613098145	4.0e-17	1.1e-20	Bromodomain	0	1	2
>GSVIVT01020528001|PACid:17829860_VvTAFIIa	ubiquitin	PF00240.23	CL0072	549	621	549	619	1	70	43.8697471618652	1.5e-11	4.2e-15	Ubiquitin family	0	1	3
>GSVIVT01020528001|PACid:17829860_VvTAFIIa	Rad60-SLD	PF11976.8	CL0072	547	617	547	617	1	71	24.4772472381592	1.8e-05	5.0e-09	Ubiquitin-2 like Rad60 SUMO-like	1	1	4
>GSVIVT01020528001|PACid:17829860_VvTAFIIa	zf-CCHC_6	PF15288.6	CL0511	1294	1320	1296	1314	4	22	22.0587825775146	0.0001	2.8e-08	Zinc knuckle	0	1	5
>41115|PACid:27339221_Mpu15TAFIIa	DUF3591	PF12157.8	CL0662	449	934	527	933	79	440	166.034957885742	1.1e-48	1.2e-52	Protein of unknown function (DUF3591)	0	1	1
>41115|PACid:27339221_Mpu15TAFIIa	Bromodomain	PF00439.25		1320	1402	1321	1399	2	79	51.8939514160156	5.9e-14	6.6e-18	Bromodomain	0	1	2
>62240|PACid:27405188_Mpu29TAFIIa	DUF3591	PF12157.8	CL0662	943	1391	978	1390	71	440	168.331008911133	2.2e-49	2.5e-53	Protein of unknown function (DUF3591)	0	1	1
>62240|PACid:27405188_Mpu29TAFIIa	Bromodomain	PF00439.25		1751	1833	1751	1828	1	77	54.602954864502	8.5e-15	9.5e-19	Bromodomain	0	1	2
>16923|PACid:27413701_OlucTAFIIa	DUF3591	PF12157.8	CL0662	645	1073	670	1072	74	440	166.441558837891	8.2e-49	9.2e-53	Protein of unknown function (DUF3591)	0	1	1
>16923|PACid:27413701_OlucTAFIIa	Bromodomain	PF00439.25		1399	1476	1416	1473	17	77	38.155200958252	1.1e-09	1.3e-13	Bromodomain	0	1	2
>Vocar20011547m|PACid:23124304_VcarTAFIIa	DUF3591	PF12157.8	CL0662	1137	1511	1146	1499	125	430	122.351615905762	2.0e-35	3.3e-39	Protein of unknown function (DUF3591)	0	1	1
>Vocar20011547m|PACid:23124304_VcarTAFIIa	TBP-binding	PF09247.11		7	54	9	50	3	44	27.8021049499512	2.2e-06	3.7e-10	TATA box-binding protein binding	0	1	2
>Vocar20011547m|PACid:23124304_VcarTAFIIa	Bromodomain	PF00439.25		2350	2439	2357	2433	16	79	26.2889709472656	5.8e-06	9.7e-10	Bromodomain	0	1	3
>C_paradoxa_tafiiA_37762	DUF3591	PF12157.8	CL0662	406	973	406	958	1	425	240.580322265625	2.6e-71	2.9e-75	Protein of unknown function (DUF3591)	0	1	1
>C_paradoxa_tafiiA_37762	Bromodomain	PF00439.25		1332	1411	1347	1409	16	82	47.6475944519043	1.3e-12	1.4e-16	Bromodomain	0	1	2
>C_paradoxa_tafiiB_37239	TBP-binding	PF09247.11		26	80	30	73	3	47	33.0316276550293	5.2e-08	2.9e-12	TATA box-binding protein binding	0	1	1
